DP execution time (ns),Heuristic execution time (ns),DP solution,Heuristic solution,DP memory usage (bytes),Heuristic memory usage (bytes),Solutions are the same
156566,7585,1206,1206,41004,400,Yes
164711,7714,1044,1044,41004,400,Yes
138181,7024,1508,1508,41004,400,Yes
141247,7093,1209,1206,41004,400,No
140696,6522,1179,1179,41004,400,Yes
145605,6993,1366,1342,41004,400,No
143401,6182,1272,1272,41004,400,Yes
146607,5972,1128,1125,41004,400,No
134785,6102,1043,1010,41004,400,No
137200,6142,1113,1103,41004,400,No
135687,6442,1268,1261,41004,400,No
137189,6703,980,980,41004,400,Yes
135337,6171,1088,1088,41004,400,Yes
144053,6152,1328,1317,41004,400,No
135416,6212,1075,1075,41004,400,Yes
138552,6412,1162,1160,41004,400,No
135837,5951,1371,1347,41004,400,No
146777,6583,1039,1039,41004,400,Yes
133713,6472,1000,980,41004,400,No
137500,6222,1070,1053,41004,400,No
152588,6432,1153,1147,41004,400,No
146598,6602,1370,1370,41004,400,Yes
140035,6693,1022,1014,41004,400,No
140937,6312,1097,1097,41004,400,Yes
136478,6272,1145,1137,41004,400,No
143281,6282,1077,1045,41004,400,No
141478,7584,1003,998,41004,400,No
134615,6282,1235,1235,41004,400,Yes
135767,6292,1206,1206,41004,400,Yes
143511,6222,1110,1110,41004,400,Yes
134264,6693,1090,1090,41004,400,Yes
140556,6352,990,982,41004,400,No
137199,6442,1058,1051,41004,400,No
140226,6041,1119,1119,41004,400,Yes
138041,6512,1057,1057,41004,400,Yes
164791,6142,1179,1179,41004,400,Yes
132992,5941,1027,1020,41004,400,No
136698,5731,969,969,41004,400,Yes
140265,6513,1318,1316,41004,400,No
142069,7454,928,928,41004,400,Yes
140646,6212,1162,1162,41004,400,Yes
139875,6101,1144,1138,41004,400,No
135276,6222,1100,1100,41004,400,Yes
137049,6682,1244,1244,41004,400,Yes
141798,5811,1039,1032,41004,400,No
142098,7675,1244,1242,41004,400,No
148370,6252,1451,1450,41004,400,No
139814,6883,1041,1028,41004,400,No
143832,6442,913,886,41004,400,No
136779,6262,1326,1323,41004,400,No
138111,6322,1071,1071,41004,400,Yes
144243,6152,992,992,41004,400,Yes
140135,6492,1232,1206,41004,400,No
135496,6322,1084,1079,41004,400,No
137060,6061,1079,1071,41004,400,No
135857,6783,1142,1131,41004,400,No
141548,6202,926,904,41004,400,No
142640,6292,881,871,41004,400,No
142609,6122,1013,1013,41004,400,Yes
147910,5941,1271,1238,41004,400,No
141378,6583,1022,1017,41004,400,No
133462,6463,1029,1029,41004,400,Yes
136428,5791,1163,1161,41004,400,No
138191,6993,1214,1201,41004,400,No
132971,6423,1109,1099,41004,400,No
137680,6483,979,979,41004,400,Yes
138432,6242,1147,1147,41004,400,Yes
148090,6393,1236,1236,41004,400,Yes
137400,6332,1185,1177,41004,400,No
144233,6503,1155,1155,41004,400,Yes
136248,6101,1122,1117,41004,400,No
146086,6282,1354,1332,41004,400,No
135156,6402,1197,1182,41004,400,No
134714,6262,1315,1293,41004,400,No
138181,6433,1068,1068,41004,400,Yes
139233,6543,1001,984,41004,400,No
133663,6082,1100,1091,41004,400,No
137100,6502,1360,1360,41004,400,Yes
145906,6693,1291,1283,41004,400,No
140776,6322,1039,1035,41004,400,No
138653,6182,1036,1021,41004,400,No
142590,6683,960,960,41004,400,Yes
135356,6362,1216,1204,41004,400,No
137921,6282,1105,1099,41004,400,No
143030,6261,1089,1078,41004,400,No
146898,6533,1152,1143,41004,400,No
144894,6723,1229,1211,41004,400,No
135777,6322,1394,1394,41004,400,Yes
132120,6563,955,936,41004,400,No
138091,6061,1149,1149,41004,400,Yes
144884,6272,1088,1075,41004,400,No
134634,6222,1063,1048,41004,400,No
152028,6322,1452,1446,41004,400,No
132711,6423,1157,1134,41004,400,No
136749,6412,1042,1006,41004,400,No
136458,6432,1019,1011,41004,400,No
140325,6292,1370,1355,41004,400,No
143261,6422,1159,1159,41004,400,Yes
144824,6483,1046,1046,41004,400,Yes
138412,6362,1303,1291,41004,400,No
137380,6081,963,963,41004,400,Yes
142810,6122,883,883,41004,400,Yes
139414,7074,1469,1469,41004,400,Yes
149362,6582,1212,1183,41004,400,No
136859,6402,1044,1041,41004,400,No
142590,6162,1036,1018,41004,400,No
138001,7144,824,822,41004,400,No
131569,6412,1073,1063,41004,400,No
147870,6372,1077,1069,41004,400,No
132821,6903,1021,1013,41004,400,No
142830,6112,1057,1052,41004,400,No
136899,6232,1212,1212,41004,400,Yes
134955,6232,1147,1147,41004,400,Yes
137961,6352,1047,1029,41004,400,No
139213,6443,1113,1113,41004,400,Yes
138893,6061,1096,1096,41004,400,Yes
141598,6472,1003,1000,41004,400,No
132661,6001,1184,1160,41004,400,No
138532,6262,1243,1242,41004,400,No
137631,6472,1295,1293,41004,400,No
135586,6122,1292,1281,41004,400,No
134244,6553,1282,1282,41004,400,Yes
136458,6212,1309,1291,41004,400,No
144363,6352,1168,1166,41004,400,No
132791,6462,979,979,41004,400,Yes
136609,5941,1389,1389,41004,400,Yes
136909,6232,979,979,41004,400,Yes
136628,7144,1042,1042,41004,400,Yes
136177,6583,1137,1137,41004,400,Yes
139213,6302,954,934,41004,400,No
144864,5721,1209,1209,41004,400,Yes
144203,6432,1372,1359,41004,400,No
136218,5981,1141,1141,41004,400,Yes
136769,6482,1161,1161,41004,400,Yes
139203,6232,1245,1239,41004,400,No
134655,6352,1076,1076,41004,400,Yes
142159,6212,1172,1153,41004,400,No
142189,6402,1214,1198,41004,400,No
140797,6713,1363,1360,41004,400,No
207142,9147,1347,1335,41004,400,No
167627,6983,1098,1098,41004,400,Yes
148290,6563,1072,1064,41004,400,No
134534,6723,1200,1193,41004,400,No
138542,6061,1300,1295,41004,400,No
136879,6232,974,951,41004,400,No
137280,6432,1091,1091,41004,400,Yes
135696,6322,1040,1040,41004,400,Yes
137791,6121,1110,1110,41004,400,Yes
145515,6502,1247,1247,41004,400,Yes
143522,6232,1066,1066,41004,400,Yes
136058,6522,1318,1318,41004,400,Yes
138663,6232,1301,1301,41004,400,Yes
170022,9858,1084,1084,41004,400,Yes
135546,6503,814,814,41004,400,Yes
165163,6733,1157,1142,41004,400,No
136228,6012,1012,985,41004,400,No
136308,6362,997,997,41004,400,Yes
132641,6231,1131,1131,41004,400,Yes
138422,6662,1079,1079,41004,400,Yes
136127,6622,1201,1201,41004,400,Yes
135546,6502,954,950,41004,400,No
142439,6483,1023,1022,41004,400,No
141518,6883,1395,1371,41004,400,No
138963,6202,1090,1060,41004,400,No
135907,6091,1144,1133,41004,400,No
168308,6853,1113,1113,41004,400,Yes
137961,5871,962,962,41004,400,Yes
142680,5971,1296,1294,41004,400,No
133763,7333,1265,1251,41004,400,No
136318,5671,1086,1086,41004,400,Yes
138261,6362,1284,1279,41004,400,No
137981,5941,909,887,41004,400,No
135275,6572,1174,1174,41004,400,Yes
140015,6442,1002,991,41004,400,No
137500,6683,1036,1006,41004,400,No
141427,6082,1003,1003,41004,400,Yes
133843,6162,1114,1114,41004,400,Yes
136698,7304,1266,1252,41004,400,No
169350,6923,1239,1234,41004,400,No
137551,6652,1210,1210,41004,400,Yes
144613,6412,1035,1028,41004,400,No
135356,6502,809,807,41004,400,No
136448,6613,1118,1106,41004,400,No
134684,6503,1048,1048,41004,400,Yes
148060,6272,964,964,41004,400,Yes
134054,5751,1113,1113,41004,400,Yes
150284,6392,1217,1204,41004,400,No
141448,6191,1008,1005,41004,400,No
143191,6863,1132,1129,41004,400,No
135356,6192,1403,1387,41004,400,No
153941,9477,1009,1008,41004,400,No
144855,7293,1153,1148,41004,400,No
144503,6382,1612,1602,41004,400,No
132510,6171,1050,1043,41004,400,No
134344,6943,1216,1216,41004,400,Yes
140666,6483,1193,1175,41004,400,No
135817,6613,1218,1215,41004,400,No
134264,5951,1390,1379,41004,400,No
151056,5921,1235,1235,41004,400,Yes
142580,6432,1149,1149,41004,400,Yes
135496,6142,949,928,41004,400,No
135246,5741,1128,1128,41004,400,Yes
